
JLAB fadc pedestal measurement on host adcft3
----------------------------
Opening CRCSR Window (opened at [0xb6f9a000,0xb7f9a000])
Opening A32 Window (opened at [0xb6f8a000,0xb6f9a000])
Opening A32Blt Window (opened at [0xacf8a000,0xb6f8a000])
Opening A24 Window (opened at [0xabf8a000,0xacf8a000])
Opening A16 Window (opened at [0xabf7a000,0xabf8a000])
jlabgefMapTsi: Tempe Chip Userspace map successful
VME Bus Error IRQ Disabled
vmeBusCreateLockShm: vmeBus shared memory mutex initialized
Initialized FADC  0  Slot #  3 at address 0xac10a000 (0x00180000) 
Initialized FADC  1  Slot #  4 at address 0xac18a000 (0x00200000) 
Initialized FADC  2  Slot #  5 at address 0xac20a000 (0x00280000) 
Initialized FADC  3  Slot #  6 at address 0xac28a000 (0x00300000) 
Initialized FADC  4  Slot #  7 at address 0xac30a000 (0x00380000) 
Initialized FADC  5  Slot #  8 at address 0xac38a000 (0x00400000) 
Initialized FADC  6  Slot #  9 at address 0xac40a000 (0x00480000) 
Initialized FADC  7  Slot # 10 at address 0xac48a000 (0x00500000) 
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x580000
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x600000
Initialized FADC  8  Slot # 13 at address 0xac60a000 (0x00680000) 
Initialized FADC  9  Slot # 14 at address 0xac68a000 (0x00700000) 
Initialized FADC 10  Slot # 15 at address 0xac70a000 (0x00780000) 
Initialized FADC 11  Slot # 16 at address 0xac78a000 (0x00800000) 
Initialized FADC 12  Slot # 17 at address 0xac80a000 (0x00880000) 
Initialized FADC 13  Slot # 18 at address 0xac88a000 (0x00900000) 
Initialized FADC 14  Slot # 19 at address 0xac90a000 (0x00980000) 
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0xa00000
faInit: Enabling FADC Internal Clock, and VXS Triggers (VXS Sync Reset)
faInit: 15 FADC(s) successfully initialized
fadc250Config: nfadc=15
fadc250InitGlobals reached

NOTE: use EXPID=>clasdev< from environment

ReadConfigFile: Using configuration file >/usr/clas12/release/1.3.2/parms/fadc250/adcft3.cnf<

ReadConfigFile: crate = adcft3  host = adcft3 - activated

ReadConfigFile: crate = end  host = adcft3 - disactivated


fadc250DownloadAll reached, nfadc=15
faMeasureChannelPedestal: slot 3, chan 0 => avg 165.274, rms  1.373, min 160, max 170
faMeasureChannelPedestal: slot 3, chan 1 => avg 149.863, rms  1.347, min 145, max 155
faMeasureChannelPedestal: slot 3, chan 2 => avg 191.736, rms  1.200, min 188, max 196
faMeasureChannelPedestal: slot 3, chan 3 => avg 168.982, rms  1.333, min 164, max 174
faMeasureChannelPedestal: slot 3, chan 4 => avg 209.719, rms  1.378, min 205, max 214
faMeasureChannelPedestal: slot 3, chan 5 => avg 238.892, rms  1.256, min 235, max 244
faMeasureChannelPedestal: slot 3, chan 6 => avg 210.304, rms  1.333, min 205, max 215
faMeasureChannelPedestal: slot 3, chan 7 => avg 202.831, rms  1.342, min 198, max 207
faMeasureChannelPedestal: slot 3, chan 8 => avg 180.496, rms  1.317, min 176, max 185
faMeasureChannelPedestal: slot 3, chan 9 => avg 196.398, rms  1.316, min 192, max 201
faMeasureChannelPedestal: slot 3, chan 10 => avg 174.726, rms  1.384, min 169, max 181
faMeasureChannelPedestal: slot 3, chan 11 => avg 169.839, rms  1.331, min 165, max 175
faMeasureChannelPedestal: slot 3, chan 12 => avg 192.103, rms  1.289, min 187, max 196
faMeasureChannelPedestal: slot 3, chan 13 => avg 175.073, rms  1.296, min 171, max 180
faMeasureChannelPedestal: slot 3, chan 14 => avg 195.897, rms  1.220, min 192, max 200
faMeasureChannelPedestal: slot 3, chan 15 => avg 186.473, rms  1.302, min 182, max 191
faMeasureChannelPedestal: slot 4, chan 0 => avg 199.944, rms  1.308, min 195, max 205
faMeasureChannelPedestal: slot 4, chan 1 => avg 272.358, rms  1.290, min 268, max 277
faMeasureChannelPedestal: slot 4, chan 2 => avg 385.343, rms  1.359, min 380, max 391
faMeasureChannelPedestal: slot 4, chan 3 => avg 173.572, rms  1.272, min 169, max 178
faMeasureChannelPedestal: slot 4, chan 4 => avg 199.938, rms  1.229, min 196, max 205
faMeasureChannelPedestal: slot 4, chan 5 => avg 215.139, rms  1.306, min 210, max 220
faMeasureChannelPedestal: slot 4, chan 6 => avg 196.589, rms  1.291, min 192, max 201
faMeasureChannelPedestal: slot 4, chan 7 => avg 206.919, rms  1.362, min 202, max 215
faMeasureChannelPedestal: slot 4, chan 8 => avg 190.414, rms  1.383, min 184, max 196
faMeasureChannelPedestal: slot 4, chan 9 => avg 167.942, rms  1.313, min 163, max 173
faMeasureChannelPedestal: slot 4, chan 10 => avg 226.882, rms  1.234, min 223, max 231
