######## Translation table for ROC # 17
######## Tue Feb  3 20:05:17 EST 1998
######## By uid=1990(serov) gid=146(clas)
######## Version # 1
#######################################################
#######################################################
##bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
REF     0       17      4       0       310     0       17      4       1190    0
REF     0       17      5       0       310     0       17      5       1190    0
REF     0       17      6       0       310     0       17      6       1190    0
REF     0       17      7       0       310     0       17      7       1190    0
#######################################################
#######################################################
##bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	1	0	710	0	17	7	1190	16
TAGE	1	0	2	0	710	0	17	7	1190	17
TAGE	1	0	3	0	710	0	17	7	1190	18
TAGE	1	0	4	0	710	0	17	7	1190	19
TAGE	1	0	5	0	710	0	17	7	1190	20
TAGE	1	0	6	0	710	0	17	7	1190	21
TAGE	1	0	7	0	710	0	17	7	1190	22
TAGE	1	0	8	0	710	0	17	7	1190	23
TAGE	1	0	9	0	710	0	17	7	1190	24
TAGE	1	0	10	0	710	0	17	7	1190	25
TAGE	1	0	11	0	710	0	17	7	1190	26
TAGE	1	0	12	0	710	0	17	7	1190	27
TAGE	1	0	13	0	710	0	17	7	1190	28
TAGE	1	0	14	0	710	0	17	7	1190	29
TAGE	1	0	15	0	710	0	17	7	1190	30
TAGE	1	0	16	0	710	0	17	7	1190	31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	17	0	710	0	17	4	1190	16
TAGE	1	0	18	0	710	0	17	4	1190	17
TAGE	1	0	19	0	710	0	17	4	1190	18
TAGE	1	0	20	0	710	0	17	4	1190	19
TAGE	1	0	21	0	710	0	17	4	1190	20
TAGE	1	0	22	0	710	0	17	4	1190	21
TAGE	1	0	23	0	710	0	17	4	1190	22
TAGE	1	0	24	0	710	0	17	4	1190	23
TAGE	1	0	25	0	710	0	17	4	1190	24
TAGE	1	0	26	0	710	0	17	4	1190	25
TAGE	1	0	27	0	710	0	17	4	1190	26
TAGE	1	0	28	0	710	0	17	4	1190	27
TAGE	1	0	29	0	710	0	17	4	1190	28
TAGE	1	0	30	0	710	0	17	4	1190	29
TAGE	1	0	31	0	710	0	17	4	1190	30
TAGE	1	0	32	0	710	0	17	4	1190	31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	33	0	710	0	17	4	1190	32
TAGE	1	0	34	0	710	0	17	4	1190	33
TAGE	1	0	35	0	710	0	17	4	1190	34
TAGE	1	0	36	0	710	0	17	4	1190	35
TAGE	1	0	37	0	710	0	17	4	1190	36
TAGE	1	0	38	0	710	0	17	4	1190	37
TAGE	1	0	39	0	710	0	17	4	1190	38
TAGE	1	0	40	0	710	0	17	4	1190	39
TAGE	1	0	41	0	710	0	17	4	1190	40
TAGE	1	0	42	0	710	0	17	4	1190	41
TAGE	1	0	43	0	710	0	17	4	1190	42
TAGE	1	0	44	0	710	0	17	4	1190	43
TAGE	1	0	45	0	710	0	17	4	1190	44
TAGE	1	0	46	0	710	0	17	4	1190	45
TAGE	1	0	47	0	710	0	17	4	1190	46
TAGE	1	0	48	0	710	0	17	4	1190	47
##bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	49	0	710	0	17	4 	1190	48
TAGE	1	0	50	0	710	0	17	4 	1190	49
TAGE	1	0	51	0	710	0	17	4 	1190	50
TAGE	1	0	52	0	710	0	17	4 	1190	51
TAGE	1	0	53	0	710	0	17	4 	1190	52
TAGE	1	0	54	0	710	0	17	4 	1190	53
TAGE	1	0	55	0	710	0	17	4 	1190	54
TAGE	1	0	56	0	710	0	17	4 	1190	55
TAGE	1	0	57	0	710	0	17	4 	1190	56
TAGE	1	0	58	0	710	0	17	4 	1190	57
TAGE	1	0	59	0	710	0	17	4 	1190	58
TAGE	1	0	60	0	710	0	17	4 	1190	59
TAGE	1	0	61	0	710	0	17	4 	1190	60
TAGE	1	0	62	0	710	0	17	4 	1190	61
TAGE	1	0	63	0	710	0	17	4 	1190	62
TAGE	1	0	64	0	710	0	17	4 	1190	63
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	65	0	710	0	17	4 	1190	64
TAGE	1	0	66	0	710	0	17	4 	1190	65
TAGE	1	0	67	0	710	0	17	4 	1190	66
TAGE	1	0	68	0	710	0	17	4 	1190	67
TAGE	1	0	69	0	710	0	17	4 	1190	68
TAGE	1	0	70	0	710	0	17	4 	1190	69
TAGE	1	0	71	0	710	0	17	4 	1190	70
TAGE	1	0	72	0	710	0	17	4 	1190	71
TAGE	1	0	73	0	710	0	17	4 	1190	72
TAGE	1	0	74	0	710	0	17	4 	1190	73
TAGE	1	0	75	0	710	0	17	4 	1190	74
TAGE	1	0	76	0	710	0	17	4 	1190	75
TAGE	1	0	77	0	710	0	17	4 	1190	76
TAGE	1	0	78	0	710	0	17	4 	1190	77
TAGE	1	0	79	0	710	0	17	4 	1190	78
TAGE	1	0	80	0	710	0	17	4 	1190	79
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	81	0	710	0	17	4 	1190	80
TAGE	1	0	82	0	710	0	17	4 	1190	81
TAGE	1	0	83	0	710	0	17	4 	1190	82
TAGE	1	0	84	0	710	0	17	4 	1190	83
TAGE	1	0	85	0	710	0	17	4 	1190	84
TAGE	1	0	86	0	710	0	17	4 	1190	85
TAGE	1	0	87	0	710	0	17	4 	1190	86
TAGE	1	0	88	0	710	0	17	4 	1190	87
TAGE	1	0	89	0	710	0	17	4 	1190	88
TAGE	1	0	90	0	710	0	17	4 	1190	89
TAGE	1	0	91	0	710	0	17	4 	1190	90
TAGE	1	0	92	0	710	0	17	4 	1190	91
TAGE	1	0	93	0	710	0	17	4 	1190	92
TAGE	1	0	94	0	710	0	17	4 	1190	93
TAGE	1	0	95	0	710	0	17	4 	1190	94
TAGE	1	0	96	0	710	0	17	4 	1190	95
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	97	0	710	0	17	4	1190	96
TAGE	1	0	98	0	710	0	17	4	1190	97
TAGE	1	0	99	0	710	0	17	4	1190	98 
TAGE	1	0	100	0	710	0	17	4	1190	99
TAGE	1	0	101	0	710	0	17	4	1190	100
TAGE	1	0	102	0	710	0	17	4	1190	101
TAGE	1	0	103	0	710	0	17	4	1190	102
TAGE	1	0	104	0	710	0	17	4	1190	103
TAGE	1	0	105	0	710	0	17	4	1190	104
TAGE	1	0	106	0	710	0	17	4	1190	105
TAGE	1	0	107	0	710	0	17	4	1190	106
TAGE	1	0	108	0	710	0	17	4	1190	107
TAGE	1	0	109	0	710	0	17	4	1190	108
TAGE	1	0	110	0	710	0	17	4	1190	109
TAGE	1	0	111	0	710	0	17	4	1190	110
TAGE	1	0	112	0	710	0	17	4	1190	111
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	113	0	710	0	17	4	1190	112
TAGE	1	0	114	0	710	0	17	4	1190	113
TAGE	1	0	115	0	710	0	17	4	1190	114
TAGE	1	0	116	0	710	0	17	4	1190	115
TAGE	1	0	117	0	710	0	17	4	1190	116
TAGE	1	0	118	0	710	0	17	4	1190	117
TAGE	1	0	119	0	710	0	17	4	1190	118
TAGE	1	0	120	0	710	0	17	4	1190	119
TAGE	1	0	121	0	710	0	17	4	1190	120
TAGE	1	0	122	0	710	0	17	4	1190	121
TAGE	1	0	123	0	710	0	17	4	1190	122
TAGE	1	0	124	0	710	0	17	4	1190	123
TAGE	1	0	125	0	710	0	17	4	1190	124
TAGE	1	0	126	0	710	0	17	4	1190	125
TAGE	1	0	127	0	710	0	17	4	1190	126
TAGE	1	0	128	0	710	0	17	4	1190	127
#
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	129	0	710	0	17	7	1190	32
TAGE	1	0	130	0	710	0	17	7	1190	33
TAGE	1	0	131	0	710	0	17	7	1190	34
TAGE	1	0	132	0	710	0	17	7	1190	35
TAGE	1	0	133	0	710	0	17	7	1190	36
TAGE	1	0	134	0	710	0	17	7	1190	37
TAGE	1	0	135	0	710	0	17	7	1190	38
TAGE	1	0	136	0	710	0	17	7	1190	39
TAGE	1	0	137	0	710	0	17	7	1190	40
TAGE	1	0	138	0	710	0	17	7	1190	41
TAGE	1	0	139	0	710	0	17	7	1190	42
TAGE	1	0	140	0	710	0	17	7	1190	43
TAGE	1	0	141	0	710	0	17	7	1190	44
TAGE	1	0	142	0	710	0	17	7	1190	45
TAGE	1	0	143	0	710	0	17	7	1190	46
TAGE	1	0	144	0	710	0	17	7	1190	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	145	0	710	0	17	5	1190	16
TAGE	1	0	146	0	710	0	17	5	1190	17
TAGE	1	0	147	0	710	0	17	5	1190	18
TAGE	1	0	148	0	710	0	17	5	1190	19
TAGE	1	0	149	0	710	0	17	5	1190	20
TAGE	1	0	150	0	710	0	17	5	1190	21
TAGE	1	0	151	0	710	0	17	5	1190	22
TAGE	1	0	152	0	710	0	17	5	1190	23
TAGE	1	0	153	0	710	0	17	5	1190	24
TAGE	1	0	154	0	710	0	17	5	1190	25
TAGE	1	0	155	0	710	0	17	5	1190	26
TAGE	1	0	156	0	710	0	17	5	1190	27
TAGE	1	0	157	0	710	0	17	5	1190	28
TAGE	1	0	158	0	710	0	17	5	1190	29
TAGE	1	0	159	0	710	0	17	5	1190	30
TAGE	1	0	160	0	710	0	17	5	1190	31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	161	0	710	0	17	5	1190	32
TAGE	1	0	162	0	710	0	17	5	1190	33
TAGE	1	0	163	0	710	0	17	5	1190	34
TAGE	1	0	164	0	710	0	17	5	1190	35
TAGE	1	0	165	0	710	0	17	5	1190	36
TAGE	1	0	166	0	710	0	17	5	1190	37
TAGE	1	0	167	0	710	0	17	5	1190	38
TAGE	1	0	168	0	710	0	17	5	1190	39
TAGE	1	0	169	0	710	0	17	5	1190	40
TAGE	1	0	170	0	710	0	17	5	1190	41
TAGE	1	0	171	0	710	0	17	5	1190	42
TAGE	1	0	172	0	710	0	17	5	1190	43
TAGE	1	0	173	0	710	0	17	5	1190	44
TAGE	1	0	174	0	710	0	17	5	1190	45
TAGE	1	0	175	0	710	0	17	5	1190	46
TAGE	1	0	176	0	710	0	17	5	1190	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	177	0	710	0	17	5	1190	48
TAGE	1	0	178	0	710	0	17	5	1190	49
TAGE	1	0	179	0	710	0	17	5	1190	50
TAGE	1	0	180	0	710	0	17	5	1190	51
TAGE	1	0	181	0	710	0	17	5	1190	52
TAGE	1	0	182	0	710	0	17	5	1190	53
TAGE	1	0	183	0	710	0	17	5	1190	54
TAGE	1	0	184	0	710	0	17	5	1190	55
TAGE	1	0	185	0	710	0	17	5	1190	56
TAGE	1	0	186	0	710	0	17	5	1190	57
TAGE	1	0	187	0	710	0	17	5	1190	58
TAGE	1	0	188	0	710	0	17	5	1190	59
TAGE	1	0	189	0	710	0	17	5	1190	60
TAGE	1	0	190	0	710	0	17	5	1190	61
TAGE	1	0	191	0	710	0	17	5	1190	62
TAGE	1	0	192	0	710	0	17	5	1190	63
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	193	0	710	0	17	5	1190	64
TAGE	1	0	194	0	710	0	17	5	1190	65
TAGE	1	0	195	0	710	0	17	5	1190	66
TAGE	1	0	196	0	710	0	17	5	1190	67
TAGE	1	0	197	0	710	0	17	5	1190	68
TAGE	1	0	198	0	710	0	17	5	1190	69
TAGE	1	0	199	0	710	0	17	5	1190	70
TAGE	1	0	200	0	710	0	17	5	1190	71
TAGE	1	0	201	0	710	0	17	5	1190	72
TAGE	1	0	202	0	710	0	17	5	1190	73
TAGE	1	0	203	0	710	0	17	5	1190	74
TAGE	1	0	204	0	710	0	17	5	1190	75
TAGE	1	0	205	0	710	0	17	5	1190	76
TAGE	1	0	206	0	710	0	17	5	1190	77
TAGE	1	0	207	0	710	0	17	5	1190	78
